,mesh_cd,geometry,idxmax
0,53392317,"POLYGON ((139.4625 35.5083333333333, 139.475 35.5083333333333, 139.475 35.5166666666667, 139.4625 35.5166666666667, 139.4625 35.5083333333333))",エーエム
1,53392318,"POLYGON ((139.475 35.5083333333333, 139.4875 35.5083333333333, 139.4875 35.5166666666667, 139.475 35.5166666666667, 139.475 35.5083333333333))",セブンイ
2,53392327,"POLYGON ((139.4625 35.5166666666667, 139.475 35.5166666666667, 139.475 35.525, 139.4625 35.525, 139.4625 35.5166666666667))",スリーエ
3,53392328,"POLYGON ((139.475 35.5166666666667, 139.4875 35.5166666666667, 139.4875 35.525, 139.475 35.525, 139.475 35.5166666666667))",エーエム
4,53392336,"POLYGON ((139.45 35.525, 139.4625 35.525, 139.4625 35.5333333333333, 139.45 35.5333333333333, 139.45 35.525))",スリーエ
5,53392337,"POLYGON ((139.4625 35.525, 139.475 35.525, 139.475 35.5333333333333, 139.4625 35.5333333333333, 139.4625 35.525))",セブンイ
6,53392338,"POLYGON ((139.475 35.525, 139.4875 35.525, 139.4875 35.5333333333333, 139.475 35.5333333333333, 139.475 35.525))",セブンイ
7,53392345,"POLYGON ((139.4375 35.5333333333333, 139.45 35.5333333333333, 139.45 35.5416666666667, 139.4375 35.5416666666667, 139.4375 35.5333333333333))",サンクス
8,53392346,"POLYGON ((139.45 35.5333333333333, 139.4625 35.5333333333333, 139.4625 35.5416666666667, 139.45 35.5416666666667, 139.45 35.5333333333333))",セブンイ
9,53392347,"POLYGON ((139.4625 35.5333333333333, 139.475 35.5333333333333, 139.475 35.5416666666667, 139.4625 35.5416666666667, 139.4625 35.5333333333333))",スリーエ
10,53392348,"POLYGON ((139.475 35.5333333333333, 139.4875 35.5333333333333, 139.4875 35.5416666666667, 139.475 35.5416666666667, 139.475 35.5333333333333))",ファミリ
11,53392355,"POLYGON ((139.4375 35.5416666666667, 139.45 35.5416666666667, 139.45 35.55, 139.4375 35.55, 139.4375 35.5416666666667))",ファミリ
12,53392356,"POLYGON ((139.45 35.5416666666667, 139.4625 35.5416666666667, 139.4625 35.55, 139.45 35.55, 139.45 35.5416666666667))",ファミリ
13,53392357,"POLYGON ((139.4625 35.5416666666667, 139.475 35.5416666666667, 139.475 35.55, 139.4625 35.55, 139.4625 35.5416666666667))",セブンイ
14,53392358,"POLYGON ((139.475 35.5416666666667, 139.4875 35.5416666666667, 139.4875 35.55, 139.475 35.55, 139.475 35.5416666666667))",ファミリ
15,53392364,"POLYGON ((139.425 35.55, 139.4375 35.55, 139.4375 35.5583333333333, 139.425 35.5583333333333, 139.425 35.55))",サークル
